pr_id,user_id,model_id,prompt,response,tags
F038,7,3,오늘 기분은 어때?,운동으로 스트레스를 풀어.,"{인생,추천,미래,코딩}"
F039,8,4,효과적인 공부법?,운동은 하루 30분씩 해.,"{맛집,여행,일상,요리}"
F040,9,1,인생 조언 해줘.,AI는 다양한 산업에 쓰일 거야.,"{레시피,추천,자기계발}"
F041,10,2,인생 조언 해줘.,자기소개서를 준비해봐.,"{운동,가이드,코딩}"
F042,11,3,오늘 기분은 어때?,AI는 다양한 산업에 쓰일 거야.,"{해소,요약,여행}"
F043,12,4,재테크 어떻게 시작해?,적금부터 시작해.,"{운동,취업,시간관리,조언}"
F044,13,1,추천할 영화 있어?,책을 읽는 게 좋아.,"{기술,여행,코딩}"
F045,14,2,파이썬 시작하려면?,적금부터 시작해.,"{운동,날씨,추천}"
F046,15,3,AI의 미래는?,파이썬은 print로 시작해봐.,"{기술,추천,여행}"
F047,16,4,인생 조언 해줘.,제주도를 추천해.,"{감성,공부,추천,일상}"
F048,17,1,AI란 무엇일까?,오늘은 기분이 좋아.,"{요약,정보,추천}"
F049,1,2,자기계발 하려면?,강남에 맛집이 있어.,"{인생,독서,요약}"
F050,2,3,운동은 어떻게 시작해?,자기소개서를 준비해봐.,"{미래,레시피,맛집,운동}"
F051,5,4,AI의 미래는?,자기소개서를 준비해봐.,"{정보,날씨,효율,인생}"
F052,6,1,효율적인 시간 관리법은?,최근 인기 영화는 OOO야.,"{준비,인생,해소,요리}"
F053,7,2,날씨가 궁금해.,AI는 다양한 산업에 쓰일 거야.,"{코딩,조언,AI}"
F054,8,3,효과적인 공부법?,파스타를 만들어봐.,"{준비,설명,재정,재테크}"
F055,9,4,맛있는 집 추천해줘.,긍정적으로 생각해.,"{기술,준비,시간관리}"
F056,10,1,AI란 무엇일까?,운동은 하루 30분씩 해.,"{설명,준비,건강,운동}"
F057,11,2,AI의 미래는?,오늘은 기분이 좋아.,"{설명,추천,맛집}"
F058,12,3,쉬운 요리 알려줘.,AI는 학습하는 기술이야.,"{공부,설명,시간관리,미래}"
F059,13,4,운동은 어떻게 시작해?,할 일을 정리해보자.,"{조언,추천,스트레스,코딩}"
F060,14,1,추천할 영화 있어?,제주도를 추천해.,"{해소,미래,여행}"
F061,15,2,좋은 여행지는?,자기소개서를 준비해봐.,"{정보,여행,인생,요리}"
F062,16,3,효율적인 시간 관리법은?,긍정적으로 생각해.,"{영화,맛집,기술,해소}"
F063,17,4,자기계발 하려면?,파이썬은 print로 시작해봐.,"{학습,시간관리,요리,AI}"
F064,1,1,파이썬 시작하려면?,자기소개서를 준비해봐.,"{추천,가이드,자기계발}"
F065,2,2,재테크 어떻게 시작해?,AI는 학습하는 기술이야.,"{맛집,AI,학습}"
F066,5,3,효율적인 시간 관리법은?,주요 뉴스는 경제 관련이야.,"{공부,학습,스트레스,맛집}"
F067,6,4,AI의 미래는?,운동은 하루 30분씩 해.,"{운동,추천,해소}"
F068,7,1,AI의 미래는?,할 일을 정리해보자.,"{효율,취업,학습}"
F069,8,2,날씨가 궁금해.,AI는 학습하는 기술이야.,"{재정,운동,기술,해소}"
F070,9,3,AI란 무엇일까?,오늘은 기분이 좋아.,"{뉴스,시간관리,정보}"
F071,10,4,오늘 뉴스 요약해줘.,파이썬은 print로 시작해봐.,"{추천,추천,건강,공부}"
F072,11,1,쉬운 요리 알려줘.,오늘은 기분이 좋아.,"{운동,감성,코딩}"
F073,12,2,운동은 어떻게 시작해?,AI는 다양한 산업에 쓰일 거야.,"{공부,추천,레시피}"
F074,13,3,효율적인 시간 관리법은?,적금부터 시작해.,"{정보,인생,날씨}"
F075,14,4,효율적인 시간 관리법은?,운동으로 스트레스를 풀어.,"{일상,뉴스,자기계발}"
F076,15,1,오늘 뉴스 요약해줘.,책을 읽는 게 좋아.,"{미래,인생,스트레스,추천}"
F077,16,2,추천할 영화 있어?,제주도를 추천해.,"{해소,스트레스,맛집}"
F078,17,3,효율적인 시간 관리법은?,적금부터 시작해.,"{시간관리,준비,날씨,독서}"
F079,1,4,재테크 어떻게 시작해?,계획을 세우는 게 좋아.,"{레시피,뉴스,스트레스,감성}"
F080,2,1,날씨가 궁금해.,계획을 세우는 게 좋아.,"{재테크,조언,코딩,재정}"
F081,5,2,파이썬 시작하려면?,AI는 다양한 산업에 쓰일 거야.,"{추천,운동,공부,건강}"
F082,6,3,날씨가 궁금해.,주요 뉴스는 경제 관련이야.,"{추천,미래,학습}"
F083,7,4,추천할 영화 있어?,책을 읽는 게 좋아.,"{재테크,효율,미래}"
F084,8,1,인생 조언 해줘.,파스타를 만들어봐.,"{스트레스,레시피,재테크,코딩}"
F085,9,2,날씨가 궁금해.,긍정적으로 생각해.,"{여행,공부,요리,맛집}"
F086,10,3,운동은 어떻게 시작해?,강남에 맛집이 있어.,"{날씨,추천,기술}"
F087,11,4,인생 조언 해줘.,긍정적으로 생각해.,"{취업,재테크,자기계발}"
F088,12,1,효과적인 공부법?,긍정적으로 생각해.,"{추천,맛집,추천}"
F089,13,2,맛있는 집 추천해줘.,맑고 화창해.,"{기술,취업,정보,학습}"
F090,14,3,AI란 무엇일까?,파이썬은 print로 시작해봐.,"{감성,추천,시간관리}"
F091,15,4,추천할 영화 있어?,할 일을 정리해보자.,"{가이드,건강,학습,기술}"
F092,16,1,자기계발 하려면?,오늘은 기분이 좋아.,"{학습,준비,취업,정보}"
F093,17,2,취업 준비 어떻게?,주요 뉴스는 경제 관련이야.,"{여행,독서,운동,시간관리}"
F094,1,3,취업 준비 어떻게?,제주도를 추천해.,"{코딩,인생,레시피}"
F095,2,4,효율적인 시간 관리법은?,운동은 하루 30분씩 해.,"{추천,정보,날씨,시간관리}"
F096,5,1,취업 준비 어떻게?,파스타를 만들어봐.,"{재정,AI,요리}"
F097,6,2,맛있는 집 추천해줘.,적금부터 시작해.,"{뉴스,효율,자기계발,재정}"
F098,7,3,오늘 기분은 어때?,파스타를 만들어봐.,"{코딩,영화,날씨,학습}"
F099,8,4,추천할 영화 있어?,주요 뉴스는 경제 관련이야.,"{건강,설명,학습}"
F100,9,1,재테크 어떻게 시작해?,AI는 다양한 산업에 쓰일 거야.,"{학습,레시피,재테크}"
F101,10,2,운동은 어떻게 시작해?,AI는 다양한 산업에 쓰일 거야.,"{정보,재정,AI}"
F102,11,3,오늘 기분은 어때?,할 일을 정리해보자.,"{날씨,운동,재테크,스트레스}"
F103,12,4,인생 조언 해줘.,적금부터 시작해.,"{미래,기술,독서,요리}"
